layer_name,M,N,K,compute_cycles,mxu_utilization,compute_tflops,compute_time_us,memory_time_us,total_time_us,in_sram,total_bytes_kb,arith_intensity,bound,achievable_tops,vpu_op,vpu_time_us
Conv1,3136,64,576,22375,31.54,7.233,31.964,1.122,34.204,True,4384.0,56.56,COMPUTE,22.938,relu,2.24
Conv2a,3136,64,64,9575,8.19,1.878,13.679,0.303,15.919,True,1184.0,31.68,MEMORY,19.006,relu,2.24
Conv2b,3136,64,576,22375,31.54,7.233,31.964,1.122,34.204,True,4384.0,56.56,COMPUTE,22.938,relu,2.24
Conv3a,784,128,128,2681,29.24,6.708,3.83,0.159,4.95,True,620.0,59.17,COMPUTE,22.938,relu,1.12
Conv3b,784,128,1152,9849,71.64,16.433,14.07,0.626,15.19,True,2444.0,100.44,COMPUTE,22.938,relu,1.12
Conv4a,196,256,256,2044,38.36,8.798,2.92,0.108,3.48,True,422.0,77.43,COMPUTE,22.938,relu,0.56
Conv4b,196,256,2304,10236,68.93,15.812,14.623,0.571,15.183,True,2230.0,105.91,COMPUTE,22.938,relu,0.56
Conv5a,49,512,512,3068,25.55,5.861,4.383,0.169,4.663,True,659.0,41.13,COMPUTE,22.938,relu,0.28
Conv5b,49,512,4608,19452,36.27,8.32,27.789,1.318,28.069,True,5147.0,44.29,COMPUTE,22.938,relu,0.28
FC,32,1000,2048,18424,21.71,4.98,26.32,1.089,26.677,True,4253.0,30.55,MEMORY,18.327,relu,0.3571
